Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
Q07872,Epsin-4,YLL038C,actin cortical patch assembly [GO:0000147]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; protein localization to plasma membrane [GO:0072659]
P38333,Essential nuclear protein 1,YBR247C,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; poly(A)+ mRNA export from nucleus [GO:0016973]; rRNA processing [GO:0006364]"
P07286,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1),YBR243C,aerobic respiration [GO:0009060]; dolichyl diphosphate biosynthetic process [GO:0006489]; protein N-linked glycosylation [GO:0006487]
P40030,Ergosterol biosynthetic protein 28,YER044C,demethylation [GO:0070988]; ergosterol biosynthetic process [GO:0006696]
Q06551,Palmitoyltransferase ERF2 (EC 2.3.1.225) (DHHC cysteine-rich domain-containing protein ERF2) (Ras protein acyltransferase),YLR246W,peptidyl-L-cysteine S-palmitoylation [GO:0018230]; protein palmitoylation [GO:0018345]; protein targeting to membrane [GO:0006612]
P32462,Delta(14)-sterol reductase (EC 1.3.1.70) (C-14 sterol reductase) (Sterol C14-reductase),YNL280C,ergosterol biosynthetic process [GO:0006696]; sterol biosynthetic process [GO:0016126]
P54781,Cytochrome P450 61 (EC 1.14.19.41) (C-22 sterol desaturase),YMR015C,ergosterol biosynthetic process [GO:0006696]; oxidation-reduction process [GO:0055114]; sterol metabolic process [GO:0016125]
P53918,Uncharacterized transporter ESBP6,YNL125C,monocarboxylic acid transport [GO:0015718]; transport [GO:0006810]
P40456,EST/SMG-like protein 1,YIL151C,
Q08119,Protein ESC8 (Establishes silent chromatin protein 8),YOL017W,chromatin silencing [GO:0006342]; sister chromatid cohesion [GO:0007062]
P09201,"Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)",YLR377C,"fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; reactive oxygen species metabolic process [GO:0072593]; sucrose biosynthetic process [GO:0005986]"
P41921,Glutathione reductase (GR) (GRase) (EC 1.8.1.7),YPL091W,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; glutathione metabolic process [GO:0006749]; protein glutathionylation [GO:0010731]
P32604,"Fructose-2,6-bisphosphatase (EC 3.1.3.46)",YJL155C,"fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]; glucose metabolic process [GO:0006006]"
P32836,GTP-binding nuclear protein GSP2/CNR2,YOR185C,nucleus organization [GO:0006997]; protein import into nucleus [GO:0006606]
P53246,Late endosome and vacuole interface protein 11,YGR071C,vacuolar protein processing [GO:0006624]; vacuole organization [GO:0007033]
P05453,Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3),YDR172W,"cytoplasmic translational termination [GO:0002184]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; translation [GO:0006412]; translational termination [GO:0006415]"
P41912,Ras modification protein ERF4 (Hyperactive Ras suppressor protein 5),YOL110W,peptidyl-L-cysteine S-palmitoylation [GO:0018230]; protein palmitoylation [GO:0018345]; protein targeting to membrane [GO:0006612]
P16151,Protein ERD1,YDR414C,protein glycosylation [GO:0006486]; protein retention in ER lumen [GO:0006621]; protein transport [GO:0015031]
P32476,Squalene monooxygenase (EC 1.14.14.17) (Squalene epoxidase) (SE),YGR175C,ergosterol biosynthetic process [GO:0006696]; sterol biosynthetic process [GO:0016126]
P32353,"Delta(7)-sterol 5(6)-desaturase (EC 1.14.19.20) (C-5 sterol desaturase) (Ergosterol Delta(5,6) desaturase) (Sterol-C5-desaturase)",YLR056W,ergosterol biosynthetic process [GO:0006696]; sterol biosynthetic process [GO:0016126]
P38604,"Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC)",YHR072W,ergosterol biosynthetic process [GO:0006696]
Q05359,Protein ERP1,YAR002C-A,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein retention in ER lumen [GO:0006621]
Q08969,Protein GRE1 (Genes de respuesta a estres protein 1) (Hydrophilin),YPL223C,
Q12068,NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase),YOL151W,ergosterol metabolic process [GO:0008204]; filamentous growth [GO:0030447]; steroid biosynthetic process [GO:0006694]
P0CX10,Enolase-related protein 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),YOR393W,glycolytic process [GO:0006096]
P0CX11,Enolase-related protein 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),YPL281C,glycolytic process [GO:0006096]
P17261,Cystine transporter (ERD suppressor) (Transmembrane protein ERS1),YCR075C,L-cystine transport [GO:0015811]; transmembrane transport [GO:0055085]
P38140,Transcription activator of gluconeogenesis ERT1 (Ethanol regulator of translation 1),YBR239C,cellular response to starvation [GO:0009267]; gluconeogenesis [GO:0006094]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061415]; positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter [GO:0035948]; positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]
P27882,Mitochondrial FAD-linked sulfhydryl oxidase ERV1 (EC 1.8.3.2) (14 kDa regulatory protein) (Essential for respiration and vegetative growth protein 1),YGR029W,cellular iron ion homeostasis [GO:0006879]; cellular response to oxidative stress [GO:0034599]; protein import into mitochondrial intermembrane space [GO:0045041]
P53337,ER-derived vesicles protein ERV29,YGR284C,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
P39727,ER-derived vesicles protein ERV46,YAL042W,"endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]"
Q03661,Silent chromatin protein ESC1 (Establishes silent chromatin protein 1),YMR219W,chromatin silencing at telomere [GO:0006348]; negative regulation of gene silencing [GO:0060969]; telomere tethering at nuclear periphery [GO:0034398]
P36168,EST/SMG-like protein 2,YKR096W,
P53743,Pre-rRNA-processing protein ESF2 (18S rRNA factor 2),YNR054C,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; small-subunit processome assembly [GO:0034462]"
Q03096,Telomere replication protein EST3 (Ever shorter telomeres protein 3),YIL009C-A,telomere maintenance via telomerase [GO:0007004]
P38748,RING finger protein ETP1 (BRAP2 homolog) (Ethanol tolerance protein 1),YHL010C,response to ethanol [GO:0045471]
P38071,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Mitochondrial respiratory function protein 1)",YBR026C,aerobic respiration [GO:0009060]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]
Q08421,Enhancer of translation termination 1,YOR051C,positive regulation of cellular response to hypoxia [GO:1900039]; positive regulation of SREBP signaling pathway [GO:2000640]; regulation of translation [GO:0006417]; translational termination [GO:0006415]
P38289,"Exonuclease V, mitochondrial (Exo V) (EC 3.1.-.-) (Defects in morphology protein 1)",YBR163W,interstrand cross-link repair [GO:0036297]; mitochondrial genome maintenance [GO:0000002]
Q99297,Mitochondrial 2-oxodicarboxylate carrier 2,YOR222W,aspartate transmembrane transport [GO:0015810]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]; mitochondrial transport [GO:0006839]
P38738,Oxidant-induced cell-cycle arrest protein 5,YHL029C,
Q12454,Putative tyrosine-protein phosphatase OCA6 (EC 3.1.3.48) (Oxidant-induced cell-cycle arrest protein 6),YDR067C,
P38219,Obg-like ATPase 1,YBR025C,
P40555,Probable 26S proteasome regulatory subunit p27 (Proteasome non-ATPase subunit 2),YIL007C,proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]
P30620,DNA cross-link repair protein PSO2/SNM1 (EC 3.1.-.-),YMR137C,DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]; protection from non-homologous end joining at telomere [GO:0031848]
Q07800,Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1),YLL010C,cellular response to salt stress [GO:0071472]; protein dephosphorylation [GO:0006470]; response to heat [GO:0009408]; response to salt stress [GO:0009651]
P08456,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase),YER026C,phosphatidylethanolamine biosynthetic process [GO:0006646]; phosphatidylserine biosynthetic process [GO:0006659]
P37254,Aminodeoxychorismate synthase (ADC synthase) (EC 2.6.1.85) (P-aminobenzoic acid synthase) (PABA synthase) (Para-aminobenzoate synthase),YNR033W,folic acid biosynthetic process [GO:0046656]; glutamine metabolic process [GO:0006541]; para-aminobenzoic acid biosynthetic process [GO:0008153]; tetrahydrofolate biosynthetic process [GO:0046654]
P40960,WD repeat-containing protein PAC11,YDR488C,"establishment of mitotic spindle localization [GO:0040001]; intraciliary transport [GO:0042073]; microtubule-based movement [GO:0007018]; nuclear migration along microtubule [GO:0030473]; positive regulation of ATP-dependent microtubule motor activity, plus-end-directed [GO:2000582]"
P39937,Protein PAC2,YER007W,protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]
P38351,RNA polymerase II-associated protein 1 (Protein PAF1),YBR279W,"chromatin silencing at rDNA [GO:0000183]; DNA-templated transcription, termination [GO:0006353]; global genome nucleotide-excision repair [GO:0070911]; histone modification [GO:0016570]; mRNA 3'-end processing [GO:0031124]; negative regulation of DNA recombination [GO:0045910]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone H3-K36 trimethylation [GO:2001255]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001165]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209]; regulation of chromatin silencing at telomere [GO:0031938]; regulation of histone H2B conserved C-terminal lysine ubiquitination [GO:2001173]; regulation of histone H2B ubiquitination [GO:2001166]; regulation of histone H3-K4 methylation [GO:0051569]; regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001163]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; rRNA processing [GO:0006364]; snoRNA 3'-end processing [GO:0031126]; snoRNA transcription by RNA polymerase II [GO:0001015]; transcription by RNA polymerase I [GO:0006360]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription elongation from RNA polymerase I promoter [GO:0006362]"
P38958,"Protein PET100, mitochondrial",YDR079W,mitochondrial respiratory chain complex IV assembly [GO:0033617]
P08468,"Protein PET111, mitochondrial",YMR257C,mitochondrial respiratory chain complex IV assembly [GO:0033617]; positive regulation of mitochondrial translation [GO:0070131]
P10355,"Protein PET122, mitochondrial",YER153C,mitochondrial respiratory chain complex IV assembly [GO:0033617]; positive regulation of mitochondrial translation [GO:0070131]
Q05518,Protein PAL1 (Pears and lemons protein 1),YDR348C,endocytosis [GO:0006897]
P41903,Peroxisomal acyl-coenzyme A thioester hydrolase 1 (EC 3.1.2.2) (Peroxisomal long-chain acyl-CoA thioesterase 1),YJR019C,acyl-CoA metabolic process [GO:0006637]; fatty acid beta-oxidation [GO:0006635]; fatty acid catabolic process [GO:0009062]; fatty acid oxidation [GO:0019395]
P53010,PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2),YGL094C,mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; postreplication repair [GO:0006301]
P34222,Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29),YBL057C,negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]
P20484,Protein MAK11 (Maintenance of killer protein 11),YKL021C,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]"
P10962,Protein MAK16 (Maintenance of killer protein 16),YAL025C,"cell cycle [GO:0007049]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]"
P39943,Transcription corepressor MIG3 (Multicopy inhibitor of growth protein 3),YER028C,cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage [GO:0010768]; regulation of transcription from RNA polymerase II promoter by glucose [GO:0000430]; response to ethanol [GO:0045471]
