,,,
Q9HS18,Uncharacterized protein,VNG_0447H,
Q9HQ16,Signal-transducing histidine kinase homolog,VNG_1374G,protein autophosphorylation [GO:0046777]
Q9HNB3,Uncharacterized protein,VNG_2172C,
Q9HS38,Uncharacterized protein,VNG_0421C,
Q9HR13,Uncharacterized protein,VNG_0913H,
Q9HNI1,Transcription regulator,VNG_2094G,
Q9HQX7,Uncharacterized protein,VNG_0959H,
Q9HN73,Prephenate dehydratase,VNG_2222G,L-phenylalanine biosynthetic process [GO:0009094]
Q9HQH2,Uncharacterized protein,VNG_1164C,transmembrane transport [GO:0055085]
Q9HNP8,Oligopeptidase,VNG_2001G,
Q9HNW0,Uncharacterized protein,VNG_1920H,
Q9HPS1,Endoglucanase,VNG_1498G,
Q9HNB7,DNA binding protein eukaryotic-like,VNG_2167G,"DNA replication, Okazaki fragment processing [GO:0033567]"
Q9HSD3,Uncharacterized protein,VNG_0287H,
Q9HSL1,Uncharacterized protein,VNG_0178H,DNA restriction-modification system [GO:0009307]
Q9HR26,Uncharacterized protein,VNG_0892H,
Q9HQ80,Transcription regulator,VNG_1285G,potassium ion transport [GO:0006813]
,,,
Q9HR83,Uncharacterized protein,VNG_0818C,carbohydrate metabolic process [GO:0005975]
Q9HT03,"Amino acid ABC transporter, ATP-binding protein",VNG_0002G,
Q9HPN7,Uncharacterized protein,VNG_1547C,
Q9HQP0,Glycerol-3-phosphate dehydrogenase chain A,VNG_1070G,glycerol-3-phosphate metabolic process [GO:0006072]
Q9HR94,Uncharacterized protein,VNG_0801C,protein secretion [GO:0009306]
Q9HP13,Sugar kinase,VNG_1851G,carbohydrate phosphorylation [GO:0046835]
Q9HSQ6,Uncharacterized protein,VNG_0124C,riboflavin biosynthetic process [GO:0009231]
Q9HPT9,Carboxylesterase,VNG_1474G,
Q9HS98,Purine phosphoribosyltransferase,VNG_0335G,nucleoside metabolic process [GO:0009116]
Q9HP02,Spermidine/putrescine ABC transporter permease,VNG_1867G,transmembrane transport [GO:0055085]
Q9HSM5,Bacterio-opsin activator-like protein,VNG_0160G,
Q9HQB1,Uncharacterized protein,VNG_1244C,chorismate metabolic process [GO:0046417]; salicylic acid biosynthetic process [GO:0009697]
Q9HHZ8,Vng6152h,VNG_6152H,
Q9HHN9,Vng6302c,VNG_6302C,
Q9HPP0,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha),VNG_1542G,nucleoside triphosphate biosynthetic process [GO:0009142]; succinate metabolic process [GO:0006105]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]
Q9HP29,Uncharacterized protein,VNG_1833C,
Q9HN08,Thioredoxin reductase,VNG_2301G,
Q9HRZ4,Uncharacterized protein,VNG_0475C,
Q9HP59,Uncharacterized protein,VNG_1790H,
,,,
Q9HHW0,Vng6203h,VNG_6203H,
Q9HQF9,Flagellin,VNG_1181G,
Q9HRE5,HoxA-like transcriptional regulator,VNG_0735G,phosphorelay signal transduction system [GO:0000160]
Q9HSC7,Uncharacterized protein,VNG_0297H,
Q9HPQ5,Htr8 transducer,VNG_1523G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HR75,Uncharacterized protein,VNG_0828H,
Q9HPE2,Uncharacterized protein,VNG_1679H,
Q9HMR8,Signal sequence peptidase,VNG_2416G,signal peptide processing [GO:0006465]
Q9HQY9,Uncharacterized protein,VNG_0941C,
Q9HMK8,Uncharacterized protein,VNG_2498H,
Q9HPW4,Uncharacterized protein,VNG_1446H,
Q9HM86,Uncharacterized protein,VNG_2653C,"transposition, DNA-mediated [GO:0006313]"
Q9HHW9,Vng6191h,VNG_6191H,
Q9HNC1,Uncharacterized protein,VNG_2163H,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HSP3,Uncharacterized protein,VNG_0140H,
Q9HNH1,Succinate dehydrogenase subunit,VNG_2106G,
Q9HR56,2-(3-amino-3-carboxypropyl)histidine synthase (EC 2.5.1.108),VNG_0854C,peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
Q9HRS5,Uncharacterized protein,VNG_0566C,
Q9HNM0,Uncharacterized protein,VNG_2041H,
Q9HPW6,Htr12 transducer,VNG_1442G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HRG6,Uncharacterized protein,VNG_0708H,
Q9HQW0,Uncharacterized protein,VNG_0983C,potassium ion transport [GO:0006813]
Q9HSJ3,Uncharacterized protein,VNG_0200C,
Q9HHY7,Vng6165h,VNG_6165H,
Q9HR02,Uncharacterized protein,VNG_0926H,
Q9HRT2,Uncharacterized protein,VNG_0557H,
Q9HQ78,Uncharacterized protein,VNG_1289H,
Q9HSL9,Uncharacterized protein,VNG_0168H,
Q9HPP5,Uncharacterized protein,VNG_1536C,
Q9HQ57,Uncharacterized protein,VNG_1318H,
Q9HRQ6,Uncharacterized protein,VNG_0591C,
Q9HR03,Uncharacterized protein,VNG_0925C,plant-type cell wall biogenesis [GO:0009832]; UDP-L-arabinose metabolic process [GO:0033356]
Q9HMJ0,Uncharacterized protein,VNG_2520C,
Q9HQV6,Uncharacterized protein,VNG_0988H,
Q9HND9,H+-transporting ATP synthase subunit K,VNG_2143G,ATP hydrolysis coupled proton transport [GO:0015991]
Q9HQB3,Amino acid transporter,VNG_1240G,
Q9HR88,Htr18 transducer,VNG_0812G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HSY4,Uncharacterized protein,VNG_0026C,
Q9HS54,mRNA 3'-end processing factor homolog,VNG_0401G,
Q9HHQ8,Glycerol-3-phosphate-binding protein,VNG_6277G,
Q9HSZ0,Uncharacterized protein,VNG_0019H,
Q9HQI0,Uncharacterized protein,VNG_1154H,
Q9HMB9,Uncharacterized protein,VNG_2614H,
Q9HMR6,Aspartate aminotransferase,VNG_2418G,"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]"
Q9HSM3,Medium-chain acyl-CoA ligase,VNG_0162G,
Q9HS80,Oxidoreductase,VNG_0364G,triglyceride catabolic process [GO:0019433]
Q9HRB8,Uncharacterized protein,VNG_0767H,
Q9HMV0,Uncharacterized protein,VNG_2376H,
Q9HPV2,Uncharacterized protein,VNG_1459H,
Q9HMG0,Ferrichrome ABC transporter permease protein,VNG_2560G,
Q9HQ53,Uncharacterized protein,VNG_1324C,polysaccharide biosynthetic process [GO:0000271]
Q9HHM0,Vng6329h,VNG_6329H,
Q9HMB7,Metal-dependent carboxypeptidase (EC 3.4.17.19),VNG_2616G,
Q9HSY6,Uncharacterized protein,VNG_0024H,
Q9HHU2,Vng6225c,VNG_6225C,
Q9HSJ4,Uncharacterized protein,VNG_0199H,
Q9HRJ0,Uncharacterized protein,VNG_0675C,
Q9HML6,Phosphate transport system permease protein,VNG_2484G,phosphate ion transport [GO:0006817]
Q9HNQ9,Protein-export membrane protein SecF,VNG_1988G,intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]
Q9HRQ1,Uncharacterized protein,VNG_0596H,
Q9HN09,Uncharacterized protein,VNG_2299H,
,,,
Q9HRZ1,"Methylmalonyl-CoA mutase, subunit alpha",VNG_0481G,
Q9HMP3,L-allo-threonine aldolase,VNG_2447G,glycine biosynthetic process [GO:0006545]; threonine catabolic process [GO:0006567]
Q9HN22,Uncharacterized protein,VNG_2285C,
Q9HHQ1,Vng6287h,VNG_6287H,
Q9HNY5,Uncharacterized protein,VNG_1890H,
Q9HMY6,Uncharacterized protein,VNG_2329C,
Q9HPY1,Uncharacterized protein,VNG_1420H,
Q9HPN8,Chloride channel,VNG_1544G,
Q9HSQ8,Uncharacterized protein,VNG_0121H,
Q9HNH6,Threonine dehydratase,VNG_2100G,L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]
Q9HSD1,Uncharacterized protein,VNG_0291H,
Q9HPT0,Uncharacterized protein,VNG_1484H,
Q9HQW2,Uncharacterized protein,VNG_0981C,biosynthetic process [GO:0009058]
Q9HRI6,Acyl-CoA dehydrogenase,VNG_0679G,
Q9HMY3,Uroporphyrin-III C-methyltransferase,VNG_2332G,tetrapyrrole biosynthetic process [GO:0033014]
Q9HRB9,Phosphate regulatory protein homolog,VNG_0766G,
Q9HS78,Uncharacterized protein,VNG_0367H,
Q9HMX0,Dipeptide ABC transporter permease,VNG_2347G,transmembrane transport [GO:0055085]
Q9HR47,Asparagine synthetase,VNG_0867G,asparagine biosynthetic process [GO:0006529]
Q9HSH7,Methanol dehydrogenase regulatory protein,VNG_0223G,
Q9HSU3,Uncharacterized protein,VNG_0072H,rRNA catabolic process [GO:0016075]
Q9HSG1,Uncharacterized protein,VNG_0248C,
Q9HNH7,Uncharacterized protein,VNG_2099C,organonitrogen compound catabolic process [GO:1901565]
Q9HHS2,Lipoate protein ligase,VNG_6256G,cellular protein modification process [GO:0006464]
Q9HMA7,Glucose kinase,VNG_2629G,
Q9HRM9,Molybdenum cofactor biosynthesis protein,VNG_0626G,
Q9HNB4,Uncharacterized protein,VNG_2170H,
Q9HPA8,Uncharacterized protein,VNG_1723H,
Q9HQV3,Uncharacterized protein,VNG_0991H,
Q9HNN2,Uncharacterized protein,VNG_2024H,
Q9HQE8,Uncharacterized protein,VNG_1194H,
Q9HMH7,Uncharacterized protein,VNG_2534C,
Q9HNM1,Uncharacterized protein,VNG_2039H,
Q9HRB5,Aldehyde dehydrogenase (Retinol),VNG_0771G,
Q9HN30,Phosphoglucomutase/phospho-mannomutase,VNG_2276G,carbohydrate metabolic process [GO:0005975]
Q9HQW1,Uncharacterized protein,VNG_0982C,
Q9HQW8,Uncharacterized protein,VNG_0969H,
Q9HQH0,Uncharacterized protein,VNG_1168C,
Q9HRI4,3-hydroxyacyl-CoA dehydrogenase,VNG_0681G,fatty acid metabolic process [GO:0006631]
Q9HRM1,NADH dehydrogenase/oxidoreductase-like protein,VNG_0635G,
Q9HNZ5,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),VNG_1875G,coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]; sterol biosynthetic process [GO:0016126]
Q9HHR7,"ABC transporter, ATP-binding protein",VNG_6264G,
Q9HS86,Htr14 transducer,VNG_0355G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HQD0,Uncharacterized protein,VNG_1218C,
Q9HRQ8,Uncharacterized protein,VNG_0587H,
Q9HSV4,LPS glycosyltransferase,VNG_0060G,
Q9HQ98,Uncharacterized protein,VNG_1261H,
Q9HHP7,Vng6292c,VNG_6292C,
Q9HQ49,Uncharacterized protein,VNG_1329H,
Q9HS32,Enoyl-CoA hydratase,VNG_0428G,fatty acid beta-oxidation [GO:0006635]
Q9HQY5,Cell division inhibitor,VNG_0946G,cell division [GO:0051301]; negative regulation of cell division [GO:0051782]
Q9HM98,Aminomethyltransferase,VNG_2640G,
Q9HMB3,Uncharacterized protein,VNG_2622H,
Q9HMG5,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating (6PGDH) (EC 1.1.1.343)",VNG_2553G,D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]
Q9HHP9,Vng6290h,VNG_6290H,"transposition, DNA-mediated [GO:0006313]"
Q9HMQ0,Uncharacterized protein,VNG_2440H,
Q9HSH5,Uncharacterized protein,VNG_0227H,
Q9HQ44,Uncharacterized protein,VNG_1337C,
Q9HMT8,Uncharacterized protein,VNG_2392H,
Q9HPZ4,Uncharacterized protein,VNG_1405C,
Q9HNF3,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wyosine derivatives biosynthesis protein Taw1),VNG_2128C,tRNA processing [GO:0008033]
Q9HMB1,Uncharacterized protein,VNG_2625C,
Q9HRQ0,Uncharacterized protein,VNG_0597H,
Q9HMX9,Uncharacterized protein,VNG_2337C,iron-sulfur cluster assembly [GO:0016226]
Q9HR79,Type II secretion system protein,VNG_0823G,
Q9HRX5,Multidrug resistance protein homolog,VNG_0501G,transmembrane transport [GO:0055085]
Q9HQZ3,Uncharacterized protein,VNG_0936C,nitrogen compound metabolic process [GO:0006807]
Q9HSJ2,Uncharacterized protein,VNG_0204H,
Q9HRS0,Uncharacterized protein,VNG_0573C,
Q9HMT4,Sulfate transport system permease protein,VNG_2396G,transmembrane transport [GO:0055085]
Q9HMX6,Uncharacterized protein,VNG_2340H,
Q9HQV1,Uncharacterized protein,VNG_0993H,
Q9HQH3,Protoporphyrinogen oxidase,VNG_1163G,
Q9HPS6,Uncharacterized protein,VNG_1490H,
Q9HQ37,Uncharacterized protein,VNG_1345H,
Q9HP24,Uncharacterized protein,VNG_1839H,
Q9HR58,Uncharacterized protein,VNG_0852C,
Q9HN91,Uncharacterized protein,VNG_2199H,
Q9HPF8,Uncharacterized protein,VNG_1656H,
Q9HNX1,Uncharacterized protein,VNG_1906H,
Q9HRA7,CDP-diacylglycerol-serine O-phosphatidyltransferase,VNG_0784G,phospholipid biosynthetic process [GO:0008654]
Q9HQ15,Uncharacterized protein,VNG_1375C,protein autophosphorylation [GO:0046777]
Q9HSH8,Uncharacterized protein,VNG_0222C,
Q9HQC5,Uncharacterized protein,VNG_1226H,
Q9HQM7,Uncharacterized protein,VNG_1088C,
Q9HRB6,Uncharacterized protein,VNG_0769H,
Q9HRR6,Uncharacterized protein,VNG_0578H,
Q9HRV8,Oxidoreductase homolog,VNG_0523G,
Q9HSD0,Uncharacterized protein,VNG_0293H,
Q9HS33,Multidrug resistance protein homolog,VNG_0427G,transmembrane transport [GO:0055085]
Q9HRX8,Uncharacterized protein,VNG_0498C,
Q9HSG2,Uncharacterized protein,VNG_0247C,
Q9HNI3,Uncharacterized protein,VNG_2091H,
Q9HNT2,Archaeosine tRNA-ribosyltransferase,VNG_1957G,tRNA modification [GO:0006400]
Q9HR98,Cystathionine gamma-synthase,VNG_0796G,cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
Q9HMU6,Uncharacterized protein,VNG_2380H,
Q9HQ31,Uncharacterized protein,VNG_1353C,
Q9HRX3,Uncharacterized protein,VNG_0503C,
Q9HQN5,Glycine betaine transporter,VNG_1077G,nitrogen compound transport [GO:0071705]
,,,
Q9HMM1,Uncharacterized protein,VNG_2476C,nucleobase-containing compound metabolic process [GO:0006139]
Q9HNC6,Uncharacterized protein,VNG_2157C,
Q9HR86,Uncharacterized protein,VNG_0814C,
Q9HRR9,Uncharacterized protein,VNG_0574C,
Q9HP50,Small heat shock protein,VNG_1801G,
Q9HQQ4,Glucose-1-phosphate thymidylyltransferase,VNG_1055G,biosynthetic process [GO:0009058]
Q9HPZ8,Uncharacterized protein,VNG_1398C,UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
Q9HS02,Aldehyde reductase,VNG_0467G,
Q9HRC9,Uncharacterized protein,VNG_0754C,
Q9HQR0,Uncharacterized protein,VNG_1046H,
Q9HSY1,Uncharacterized protein,VNG_0029H,
Q9HQS2,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase,VNG_1030G,phospholipid biosynthetic process [GO:0008654]
Q9HRG0,Uncharacterized protein,VNG_0717H,
Q9HSE5,Uncharacterized protein,VNG_0270C,transmembrane transport [GO:0055085]
Q9HPR2,Uncharacterized protein,VNG_1511C,translation [GO:0006412]
Q9HR61,Uncharacterized protein,VNG_0847H,
,,,
F2Z5Y8,Chemotaxis protein,VNG_0970G,
Q9HN99,Uncharacterized protein,VNG_2187H,
Q9HNQ1,Uncharacterized protein,VNG_1998H,
Q9HHJ9,Neutral proteinase,VNG_6361G,
,,,
Q9HRN4,Uncharacterized protein,VNG_0617H,
Q9HPT5,Uncharacterized protein,VNG_1479H,
Q9HHP0,Alkaline phosphatase,VNG_6301G,
Q9HRP5,Uncharacterized protein,VNG_0602C,
Q9HM94,Uncharacterized protein,VNG_2644C,cell septum assembly [GO:0090529]
Q9HMC4,Uncharacterized protein,VNG_2608C,dephosphorylation [GO:0016311]; DNA repair [GO:0006281]
Q9HP18,Uncharacterized protein,VNG_1846C,lipid metabolic process [GO:0006629]
Q9HN63,Uncharacterized protein,VNG_2236H,
Q9HQ60,Uncharacterized protein,VNG_1314H,
Q9HNK2,Uncharacterized protein,VNG_2067H,polysaccharide biosynthetic process [GO:0000271]
Q9HNI4,Uncharacterized protein,VNG_2089H,
Q9HHW1,Heat shock protease protein,VNG_6201G,
Q9HND5,Uncharacterized protein,VNG_2148H,
Q9HQQ1,Uncharacterized protein,VNG_1058H,
Q9HQR2,Uncharacterized protein,VNG_1042H,
Q9HNH4,Citrate synthase (EC 2.3.3.16),VNG_2102G,carbohydrate metabolic process [GO:0005975]; tricarboxylic acid cycle [GO:0006099]
Q9HN36,Sec-independent protein translocase protein TatC,VNG_2269G,intracellular protein transmembrane transport [GO:0065002]; protein transport by the Tat complex [GO:0043953]
Q9HM73,Uncharacterized protein,VNG_2674H,
,,,
Q9HSV8,Uncharacterized protein,VNG_0055H,
Q9HHV8,Vng6205c,VNG_6205C,
Q9HNM2,Uncharacterized protein,VNG_2037C,
Q9HP37,Molybdenum cofactor biosynthesis protein,VNG_1822G,Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HQQ7,Uncharacterized protein,VNG_1052H,
Q9HRN0,Uncharacterized protein,VNG_0624H,
Q9HSU4,Uncharacterized protein,VNG_0070H,
Q9HPG1,Cell division cycle protein,VNG_1654G,cell division [GO:0051301]
Q9HHV1,Iron transport protein B,VNG_6213G,
Q9HR00,MAPK-activated protein kinase,VNG_0928G,
Q9HSN3,Uncharacterized protein,VNG_0151C,
Q9HRD5,Kinase anchor protein,VNG_0748G,
Q9HHL0,Vng6344h,VNG_6344H,
Q9HNM3,HoxA-like transcriptional regulator,VNG_2036G,phosphorelay signal transduction system [GO:0000160]
Q9HNX3,Uncharacterized protein,VNG_1904H,
Q9HNY9,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]),VNG_1884G,NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]
Q9HNM9,Uncharacterized protein,VNG_2028H,
Q9HNA7,Uncharacterized protein,VNG_2179H,
Q9HR07,Uncharacterized protein,VNG_0920H,
Q9HR15,Uncharacterized protein,VNG_0909H,
Q9HST8,Uncharacterized protein,VNG_0079H,
Q9HSQ0,Uncharacterized protein,VNG_0132C,
Q9HPZ5,Uncharacterized protein,VNG_1403H,
Q9HS64,Branched-chain amino acid aminotransferase,VNG_0387G,folic acid biosynthetic process [GO:0046656]
Q9HQU0,Uncharacterized protein,VNG_1006H,
Q9HSY2,Uncharacterized protein,VNG_0028C,
Q9HQE3,Fuculose-1-phosphate aldolase,VNG_1201G,pentose catabolic process [GO:0019323]
Q9HR27,NADH dehydrogenase,VNG_0891G,
Q9HHK1,Vng6357h,VNG_6357H,
Q9HS30,Uncharacterized protein,VNG_0430H,
Q9HHR2,sn-glycerol-1-phosphate dehydrogenase,VNG_6270G,
Q9HR41,Possible signaling protein,VNG_0874G,
Q9HHL1,Vng6343h,VNG_6343H,
Q9HQ04,Uncharacterized protein,VNG_1388H,transmembrane transport [GO:0055085]
Q9HHY1,TRK potassium uptake system protein,VNG_6175G,potassium ion transport [GO:0006813]
Q9HQ09,Uncharacterized protein,VNG_1382H,
Q9HQ22,Uncharacterized protein,VNG_1366H,pseudouridine synthesis [GO:0001522]; ribosome biogenesis [GO:0042254]
Q9HS50,Uncharacterized protein,VNG_0405C,galactose catabolic process [GO:0019388]; galactose catabolic process via UDP-galactose [GO:0033499]
,,,
Q9HN57,Uncharacterized protein,VNG_2242C,tRNA methylation [GO:0030488]
Q9HR11,Kynureninase (EC 3.7.1.3),VNG_0915G,anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; NAD biosynthetic process [GO:0009435]; tryptophan catabolic process to kynurenine [GO:0019441]
Q9HRN3,Proteinase IV homolog,VNG_0620G,
Q9HM96,Uncharacterized protein,VNG_2642H,
Q9HQA2,Uncharacterized protein,VNG_1255C,
Q9HQR4,Uncharacterized protein,VNG_1039H,
Q9HSU0,Uncharacterized protein,VNG_0076H,
Q9HSW3,Uncharacterized protein,VNG_0049H,
Q9HSD5,Uncharacterized protein,VNG_0285C,"transposition, DNA-mediated [GO:0006313]"
Q9HPK6,Uncharacterized protein,VNG_1589C,
Q9HN06,Uncharacterized protein,VNG_2304H,
Q9HPH2,Uncharacterized protein,VNG_1638H,
Q9HP38,Alcohol dehydrogenase,VNG_1821G,
Q9HS76,Uncharacterized protein,VNG_0370H,
Q9HPK7,Uncharacterized protein,VNG_1587H,"transposition, DNA-mediated [GO:0006313]"
Q9HRD0,Phosphate transporter,VNG_0753G,phosphate ion transmembrane transport [GO:0035435]
Q9HSB7,Uncharacterized protein,VNG_0311H,
Q9HRA4,Uncharacterized protein,VNG_0788H,
Q9HMJ1,Uncharacterized protein,VNG_2519H,
Q9HPE1,Phytoene synthase,VNG_1680G,carotenoid biosynthetic process [GO:0016117]; ergosterol biosynthetic process [GO:0006696]
Q9HHS1,Vng6258c,VNG_6258C,
Q9HRX0,Uncharacterized protein,VNG_0506H,
Q9HPR7,Uncharacterized protein,VNG_1503C,
Q9HQ36,Uncharacterized protein,VNG_1347C,tRNA nucleoside ribose methylation [GO:0002128]
,,,
Q9HQB8,Uncharacterized protein,VNG_1235C,oxidation-reduction process [GO:0055114]; tyrosine biosynthetic process [GO:0006571]
Q9HSI9,Uncharacterized protein,VNG_0207H,
Q9HPT8,Uncharacterized protein,VNG_1475C,
Q9HS06,Uncharacterized protein,VNG_0462C,
Q9HSE6,Uncharacterized protein,VNG_0268C,
Q9HPV9,Translation initiation factor eIF-2B subunit delta,VNG_1452G,L-methionine salvage from methylthioadenosine [GO:0019509]
Q9HQ06,Acetyltransferase homolog,VNG_1385G,
Q9HP15,Uncharacterized protein,VNG_1849H,
Q9HS73,Transcription elongation factor Spt5,VNG_0374G,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HQX3,Phycocyanin alpha phycocyanobilin lyase-like,VNG_0963G,
Q9HPM2,Cobalamin biosynthesis protein,VNG_1566G,cobalamin biosynthetic process [GO:0009236]
Q9HPQ4,Uncharacterized protein,VNG_1524C,gamma-aminobutyric acid catabolic process [GO:0009450]
Q9HQU5,Uncharacterized protein,VNG_1000H,
Q9HHK9,Vng6346h,VNG_6346H,
Q9HMX4,Uncharacterized protein,VNG_2342H,
Q9HSG6,Uncharacterized protein,VNG_0240C,
Q9HND6,Membrane protein,VNG_2147G,
Q9HQS7,Uncharacterized protein,VNG_1024C,
Q9HQ91,Uncharacterized protein,VNG_1271H,
Q9HI12,Vng6109h,VNG_6109H,
Q9HSW2,Uncharacterized protein,VNG_0050C,
Q9HHE8,Vng6439h,VNG_6439H,
Q9HMH3,Uncharacterized protein,VNG_2541C,NAD biosynthetic process [GO:0009435]
Q9HRJ2,Methylmalonyl-CoA mutase,VNG_0673G,
Q9HRT3,Succinoglycan biosynthesis transport protein,VNG_0556G,
Q9HMS8,Uncharacterized protein,VNG_2402H,
Q9HMT3,Sulfate transport system ATP-binding protein,VNG_2397G,
Q9HPQ6,"A/G specific adenine glycosylase, repair protein",VNG_1520G,base-excision repair [GO:0006284]; DNA repair [GO:0006281]; mismatch repair [GO:0006298]
Q9HHJ5,Vng6365h,VNG_6365H,
Q9HS69,Cation antiporter,VNG_0380G,calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]
Q9HHW8,Vng6193h,VNG_6193H,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HNY1,Uncharacterized protein,VNG_1895H,
Q9HNL0,Uncharacterized protein,VNG_2054H,
Q9HHK3,Competence-like protein,VNG_6354G,
Q9HS22,Uncharacterized protein,VNG_0440C,
Q9HMT5,Uncharacterized protein,VNG_2395C,thiamine transport [GO:0015888]
Q9HMV7,Uncharacterized protein,VNG_2370C,
Q9HP05,Histidine triad protein,VNG_1864G,
Q9HPX6,Uncharacterized protein,VNG_1427H,
Q9HRX2,GTP-binding protein homolog,VNG_0504G,
Q9HHF2,Vng6432h,VNG_6432H,
Q9HMT7,Probable thiosulfate sulfurtransferase,VNG_2393G,
Q9HHG9,Vng6404h,VNG_6404H,
Q9HHY9,Vng6163h,VNG_6163H,
Q9HP00,Uncharacterized protein,VNG_1869C,
Q9HMN8,Uncharacterized protein,VNG_2455C,
Q9HQQ3,Uncharacterized protein,VNG_1056C,
Q9HS85,Uncharacterized protein,VNG_0357H,
Q9HPJ4,Uncharacterized protein,VNG_1609C,
Q9HPR1,Uncharacterized protein,VNG_1513H,
Q9HML0,Zinc-containing ferredoxin,VNG_2496G,
Q9HPM0,Precorrin-3 methylase,VNG_1568G,cobalamin biosynthetic process [GO:0009236]
Q9HSZ6,Uncharacterized protein,VNG_0013C,
Q9HQZ9,Alkanal monooxygenase homolog,VNG_0930G,
